iter	RMSE
0	4.013189228
1	3.975314377
2	3.940896835
3	3.909243784
4	3.879916768
5	3.851233016
6	3.828186473
7	3.804799912
8	3.783994775
9	3.763903002
10	3.745968505
11	3.730670849
12	3.715402608
13	3.702154173
14	3.689141891
15	3.678050409
16	3.667911564
17	3.658682754
18	3.650198003
19	3.642677387
20	3.635145393
21	3.628658168
22	3.622232158
23	3.615893423
24	3.610572663
25	3.60632528
26	3.601086361
27	3.597035283
28	3.593638526
29	3.58969175
30	3.585897847
31	3.58288502
32	3.579999745
33	3.577190072
34	3.574058008
35	3.57111362
36	3.568374399
37	3.566261836
38	3.563956227
39	3.561607873
40	3.559675973
41	3.557681546
42	3.555850155
43	3.554344401
44	3.553107077
45	3.551680018
46	3.550258813
47	3.548820696
48	3.547577351
49	3.546276179
50	3.545243422
51	3.543954503
52	3.542751481
53	3.541307119
54	3.540391787
55	3.539573438
56	3.538516219
57	3.53768504
58	3.536606665
59	3.535753398
60	3.534842575
61	3.534639916
62	3.534046026
63	3.533286279
64	3.532521959
65	3.531801659
66	3.531230886
67	3.530575923
68	3.529866749
69	3.529323282
70	3.528560365
71	3.527936438
72	3.52710708
73	3.526604334
74	3.525904635
75	3.525350218
76	3.524665064
77	3.524193996
78	3.523363677
79	3.522749779
80	3.521971857
81	3.521460251
82	3.520892678
83	3.520485514
84	3.519821741
85	3.519348752
86	3.518978024
87	3.51844083
88	3.518145447
89	3.517447611
90	3.517016471
91	3.516439753
92	3.516078571
93	3.515642422
94	3.515074191
95	3.514622573
96	3.514278328
97	3.513656831
98	3.513348479
99	3.513022127
100	3.512530718
101	3.512095474
102	3.511687343
103	3.511326238
104	3.511013907
105	3.510563199
106	3.510021703
107	3.509524642
108	3.509060901
109	3.508710011
110	3.508328072
111	3.508166357
112	3.507807615
113	3.507198542
114	3.506574269
115	3.50594464
116	3.505520581
117	3.504990658
118	3.504656868
119	3.504228303
120	3.503862638
121	3.503498937
122	3.503155674
123	3.502889409
124	3.502421556
125	3.502238152
126	3.5019411
127	3.501198026
128	3.50078071
129	3.500570613
130	3.500100839
131	3.499718337
132	3.499358615
133	3.498684517
134	3.498351564
135	3.498073027
136	3.497884293
137	3.497296623
138	3.496778421
139	3.496228781
140	3.495796302
141	3.495402835
142	3.494981999
143	3.494471877
144	3.494071245
145	3.493684154
146	3.493165211
147	3.492781906
148	3.492502234
149	3.492154471
150	3.491718691
151	3.491347934
152	3.490878146
153	3.49057948
154	3.490086189
155	3.48962678
156	3.489072477
157	3.4887167
158	3.488604062
159	3.48842486
160	3.487991581
161	3.487503468
162	3.487034618
163	3.4865446
164	3.486325362
165	3.485942573
166	3.485451215
167	3.485061361
168	3.484829412
169	3.484412759
170	3.48378264
171	3.483467713
172	3.483119792
173	3.482655175
174	3.482230353
175	3.481881873
176	3.481097828
177	3.48052175
178	3.480181882
179	3.479726942
180	3.479413439
181	3.479033644
182	3.478489698
183	3.478132803
184	3.477592805
185	3.477126108
186	3.476524157
187	3.476240032
188	3.475792509
189	3.475129604
190	3.47460945
191	3.474194072
192	3.473929146
193	3.473498692
194	3.473297761
195	3.472818312
196	3.47243564
197	3.472113721
198	3.471704805
199	3.471331983
200	3.471005228
201	3.47056034
202	3.470045807
203	3.46961411
204	3.469162998
205	3.468888941
206	3.468417075
207	3.467803368
208	3.467245501
209	3.466917596
210	3.466589224
211	3.466184498
212	3.465854167
213	3.465247887
214	3.464722424
215	3.46442923
216	3.463976153
217	3.463671696
218	3.463288014
219	3.462880376
220	3.462385807
221	3.461730665
222	3.461456688
223	3.461166103
224	3.460564534
225	3.460136765
226	3.459792777
227	3.459230694
228	3.458763883
229	3.45814351
230	3.457821443
231	3.457417096
232	3.456667932
233	3.456301664
234	3.455848145
235	3.455202082
236	3.454857462
237	3.454452547
238	3.453790637
239	3.453371399
240	3.453056021
241	3.452519408
242	3.452202809
243	3.451671393
244	3.451270933
245	3.450960511
246	3.450696771
247	3.450287346
248	3.449857016
249	3.449430008
250	3.448895806
251	3.448235792
252	3.44757005
253	3.447163088
254	3.44680414
255	3.446089754
256	3.445399695
257	3.444744031
258	3.444020465
259	3.443668275
260	3.442995477
261	3.442729164
262	3.442507281
263	3.442038952
264	3.44163066
265	3.440966705
266	3.440389851
267	3.439688698
268	3.439330374
269	3.438806395
270	3.438422524
271	3.438210511
272	3.437800256
273	3.437240204
274	3.436718994
275	3.436451199
276	3.435888883
277	3.435603375
278	3.435114062
279	3.434692005
280	3.434213423
281	3.433844746
282	3.433085224
283	3.432774325
284	3.432258429
285	3.431846014
286	3.431560667
287	3.431098925
288	3.430694178
289	3.430431935
290	3.429814888
291	3.429511394
292	3.428897454
293	3.428206829
294	3.427923377
295	3.427218628
296	3.42643515
297	3.425784769
298	3.425294033
299	3.424718119
300	3.424231109
301	3.423678591
302	3.423241835
303	3.422743055
304	3.422248799
305	3.421794485
306	3.421238031
307	3.420738747
308	3.420247618
309	3.419894036
310	3.419490828
311	3.419307895
312	3.418925967
313	3.41847356
314	3.417813274
315	3.417357562
316	3.41673597
317	3.416059647
318	3.41547243
319	3.415190229
320	3.414955712
321	3.414445653
322	3.413834845
323	3.413419541
324	3.412913521
325	3.412253235
326	3.411967851
327	3.411577783
328	3.410898892
329	3.410189116
330	3.409664984
331	3.409366043
332	3.408862545
333	3.408423781
334	3.407783203
335	3.407219562
336	3.406620024
337	3.406282989
338	3.40580015
339	3.405570515
340	3.405229642
341	3.40443573
342	3.403871041
343	3.403581628
344	3.403059689
345	3.402663055
346	3.402055922
347	3.401586995
348	3.401206363
349	3.400897147
350	3.400489824
351	3.399852319
352	3.39933369
353	3.399153788
354	3.398731875
355	3.398419123
356	3.397952975
357	3.397554975
358	3.396924485
359	3.396538279
360	3.395979628
361	3.395338743
362	3.394985856
363	3.394479081
364	3.393844298
365	3.393472719
366	3.392696498
367	3.392384858
368	3.391699919
369	3.391265185
370	3.390793675
371	3.390440264
372	3.390134399
373	3.389634711
374	3.389087289
375	3.388800092
376	3.388211955
377	3.387785597
378	3.387541123
379	3.386946844
380	3.386389677
381	3.386028187
382	3.385684824
383	3.385242239
384	3.384719699
385	3.38438655
386	3.383971421
387	3.383253215
388	3.382823001
389	3.38199861
390	3.381511308
391	3.381160914
392	3.380743632
393	3.380231107
394	3.379834427
395	3.3794631
396	3.378959285
397	3.37863451
398	3.378165105
399	3.37780049
400	3.377533883
401	3.377102289
402	3.37655606
403	3.37580323
404	3.375105443
405	3.374707162
406	3.374204122
407	3.373573913
408	3.373286625
409	3.372845955
410	3.372598532
411	3.37228329
412	3.371873391
413	3.371418086
414	3.371063799
415	3.370714394
416	3.37029318
417	3.369764792
418	3.369295696
419	3.368714345
420	3.368261124
421	3.367815571
422	3.367325621
423	3.366680781
424	3.366315833
425	3.366037642
426	3.365532561
427	3.365280868
428	3.364870558
429	3.364257377
430	3.36380642
431	3.363343784
