iter	Passed	Remaining
0	0	771
1	1	703
2	2	724
3	2	717
4	3	707
5	4	713
6	5	710
7	5	708
8	6	712
9	7	730
10	8	732
11	8	723
12	9	715
13	10	711
14	10	707
15	11	703
16	12	701
17	12	698
18	13	693
19	14	690
20	14	687
21	15	685
22	16	685
23	16	683
24	17	682
25	18	681
26	18	680
27	19	678
28	20	676
29	20	675
30	21	675
31	22	674
32	22	672
33	23	670
34	24	669
35	24	668
36	25	667
37	26	665
38	26	663
39	27	664
40	28	664
41	29	662
42	29	661
43	30	660
44	31	659
45	31	658
46	32	658
47	33	657
48	33	655
49	34	654
50	35	653
51	35	652
52	36	652
53	37	651
54	37	650
55	38	649
56	39	647
57	39	647
58	40	646
59	41	644
60	41	644
61	42	638
62	42	637
63	43	636
64	44	635
65	44	634
66	45	634
67	46	633
68	46	633
69	47	632
70	48	631
71	48	630
72	49	629
73	50	628
74	50	628
75	51	627
76	52	626
77	52	625
78	53	624
79	54	623
80	54	621
81	55	621
82	56	620
83	56	619
84	57	618
85	58	618
86	58	617
87	59	617
88	60	616
89	60	615
90	61	614
91	62	613
92	62	613
93	63	612
94	64	611
95	64	611
96	65	610
97	66	609
98	66	609
99	67	608
100	68	607
101	68	606
102	69	605
103	70	605
104	70	604
105	71	603
106	72	602
107	72	602
108	73	601
109	74	600
110	74	600
111	75	599
112	76	598
113	76	597
114	77	597
115	78	596
116	78	595
117	79	594
118	80	594
119	80	593
120	81	593
121	82	592
122	82	591
123	83	591
124	84	590
125	84	589
126	85	588
127	86	587
128	86	586
129	87	586
130	88	585
131	88	585
132	89	584
133	90	583
134	91	583
135	91	581
136	92	581
137	92	580
138	93	580
139	94	579
140	95	579
141	95	578
142	96	578
143	97	577
144	97	577
145	98	576
146	99	576
147	100	575
148	100	575
149	101	574
150	102	573
151	102	572
152	103	572
153	103	571
154	104	570
155	105	570
156	106	569
157	106	568
158	107	568
159	108	567
160	108	566
161	109	566
162	110	565
163	110	564
164	111	563
165	111	562
166	112	561
167	113	561
168	114	560
169	114	560
170	115	559
171	116	558
172	116	557
173	117	557
174	118	556
175	118	556
