iter	RMSE
0	3.927047762
1	3.902855375
2	3.878035802
3	3.857262231
4	3.836700261
5	3.818158187
6	3.802884828
7	3.786537405
8	3.773801498
9	3.761369472
10	3.750158073
11	3.739909829
12	3.729810189
13	3.722411144
14	3.713182052
15	3.705226737
16	3.700629091
17	3.693884842
18	3.687265907
19	3.682752895
20	3.678421534
21	3.673219362
22	3.669824666
23	3.665157575
24	3.660914653
25	3.655995157
26	3.652559059
27	3.649347954
28	3.646211447
29	3.642833703
30	3.639210703
31	3.635920308
32	3.632470906
33	3.628257274
34	3.625357152
35	3.621532527
36	3.619065956
37	3.616083719
38	3.612919104
39	3.609957323
40	3.607015097
41	3.605264338
42	3.602671565
43	3.599799312
44	3.597721082
45	3.596244932
46	3.594731587
47	3.592568052
48	3.590215056
49	3.588654592
50	3.587397212
51	3.586318657
52	3.584242047
53	3.581887282
54	3.579974678
55	3.57905661
56	3.577122626
57	3.575822037
58	3.574225523
59	3.572962063
60	3.57133584
61	3.56997502
62	3.56831839
63	3.567154999
64	3.566121156
65	3.564500651
66	3.563544396
67	3.562080372
68	3.560609667
69	3.559099646
70	3.558103263
71	3.556635356
72	3.555482158
73	3.554888791
74	3.553638399
75	3.552372402
76	3.551158738
77	3.54962279
78	3.548982167
79	3.547842721
80	3.546556313
81	3.545498638
82	3.544928048
83	3.543707772
84	3.542525258
85	3.541870229
86	3.540475946
87	3.53942318
88	3.539067676
89	3.538068378
90	3.537525038
91	3.536494667
92	3.535452362
93	3.534238322
94	3.53350396
95	3.532877402
96	3.532341839
97	3.531978949
98	3.531342629
99	3.530412113
100	3.529561498
101	3.528825008
102	3.528069769
103	3.527361522
104	3.526412449
105	3.525575343
106	3.524716128
107	3.52421332
108	3.523508606
109	3.522502557
110	3.521981599
111	3.52156584
112	3.520880001
113	3.520371994
114	3.51958114
115	3.518887109
116	3.51824858
117	3.517509514
118	3.516757743
119	3.516227898
120	3.515833729
121	3.515005826
122	3.514262375
123	3.513409369
124	3.51264939
125	3.512339766
126	3.511642815
127	3.511152861
128	3.510415577
129	3.509975763
130	3.509319541
131	3.508592984
132	3.508190384
133	3.50757465
134	3.507053551
135	3.506156619
136	3.505761801
137	3.505273496
138	3.504815378
139	3.50436697
140	3.503811219
141	3.503414371
142	3.502744609
143	3.502044628
144	3.501467591
145	3.500842459
146	3.500423228
147	3.499920983
148	3.499353119
149	3.498704617
150	3.498203679
151	3.497618254
152	3.497159596
153	3.496653091
154	3.496181546
155	3.495313931
156	3.494830607
157	3.494273294
158	3.493885679
159	3.493508367
160	3.492862348
161	3.492354678
162	3.491910897
163	3.491499222
164	3.491208968
165	3.490649642
166	3.490119727
167	3.489520367
168	3.488972072
169	3.488083648
170	3.48762722
171	3.487164151
172	3.486259193
173	3.485860186
174	3.484968019
175	3.484417308
176	3.483768248
177	3.48328967
178	3.482378144
179	3.481703644
180	3.481078723
181	3.480579749
182	3.479946931
183	3.479266807
184	3.47855435
185	3.477994298
186	3.477499507
187	3.476948181
188	3.476513695
189	3.47579755
190	3.475149541
191	3.474509109
192	3.473808722
193	3.47321449
194	3.472565003
195	3.47196199
196	3.471499647
197	3.470781137
198	3.470224915
199	3.469542746
200	3.46913006
201	3.468613453
202	3.467966663
203	3.467187491
204	3.466680436
205	3.466194703
206	3.465744342
207	3.465007559
208	3.46438201
209	3.463733968
210	3.462893294
211	3.462353418
212	3.461714513
213	3.461280917
214	3.460781975
215	3.46005655
216	3.459591957
217	3.458899037
218	3.458399396
219	3.457892202
220	3.457419087
221	3.456732396
222	3.456094061
223	3.455456812
224	3.45492291
225	3.454365195
226	3.453806609
227	3.453114835
228	3.452741252
229	3.452027287
230	3.451621602
231	3.451133481
232	3.450603065
233	3.450157544
234	3.449680726
235	3.449073085
236	3.448621731
237	3.448067793
238	3.447473694
239	3.446901107
240	3.44641335
241	3.445758927
242	3.445360961
243	3.444940248
244	3.444507769
245	3.443902925
246	3.44307022
247	3.442627061
248	3.442107402
249	3.441651601
250	3.441303346
251	3.440879733
252	3.440482979
253	3.439916658
254	3.439201701
255	3.438731219
256	3.438203901
257	3.437522464
258	3.437046234
259	3.436420383
260	3.435848811
261	3.435203081
262	3.434777645
263	3.434244595
264	3.433761575
265	3.433068542
266	3.432586963
267	3.432046157
268	3.431688937
269	3.431382855
270	3.431042572
271	3.430593154
272	3.430149472
273	3.429573611
274	3.429137102
275	3.428661586
276	3.428159801
277	3.427625562
278	3.427094892
279	3.426431945
280	3.426009116
281	3.425508105
