iter	Passed	Remaining
0	0	767
1	1	720
2	2	708
3	2	694
4	3	686
5	4	686
6	4	681
7	5	677
8	6	670
9	6	666
10	7	665
11	8	664
12	8	665
13	9	667
14	10	666
15	10	666
16	11	664
17	12	665
18	12	663
19	13	661
20	14	659
21	14	658
22	15	659
23	16	657
24	16	660
25	17	659
26	18	660
27	19	661
28	19	659
29	20	658
30	21	656
31	21	655
32	22	654
33	23	653
34	23	652
35	24	651
36	24	649
37	25	648
38	26	646
39	26	646
40	27	644
41	28	644
42	28	643
43	29	642
44	30	641
45	30	640
46	31	638
47	32	637
48	32	637
49	33	636
50	34	635
51	34	636
52	35	635
53	36	633
54	36	632
55	37	631
56	38	630
57	38	629
58	39	629
59	40	628
60	40	627
61	41	622
62	41	621
63	42	620
64	43	619
65	43	619
66	44	619
67	45	617
68	45	616
69	46	616
70	47	615
71	47	615
72	48	614
73	48	613
74	49	611
75	50	610
76	50	609
77	51	608
78	52	608
79	52	608
80	53	607
81	54	606
82	54	605
83	55	605
84	56	604
85	56	603
86	57	603
87	58	603
88	58	602
89	59	602
90	60	601
91	60	600
92	61	600
93	62	599
94	62	599
95	63	598
96	64	597
97	64	596
98	65	596
99	66	595
100	66	595
101	67	594
102	68	594
103	68	593
104	69	594
105	70	594
106	71	593
107	71	593
108	72	592
109	73	591
110	73	590
111	74	589
112	75	589
113	75	588
114	76	587
115	76	586
116	77	585
117	78	585
118	78	584
119	79	583
120	80	583
121	80	582
122	81	581
123	82	582
124	83	582
125	83	581
126	84	580
127	85	580
128	85	579
129	86	579
130	87	578
131	87	577
132	88	576
133	89	577
134	90	577
135	90	575
136	91	574
137	91	573
138	92	573
139	93	572
140	93	572
141	94	571
142	95	570
143	95	569
144	96	569
145	97	568
146	97	567
147	98	566
148	99	566
149	99	565
150	100	564
151	101	563
152	101	563
153	102	562
154	103	561
155	103	561
156	104	560
157	105	560
158	105	559
159	106	558
160	107	558
161	107	557
162	108	557
163	109	557
164	110	557
165	110	556
166	111	556
167	112	555
168	113	555
169	113	555
170	114	554
171	115	553
172	115	553
173	116	552
174	117	552
175	117	551
176	118	551
177	119	550
178	119	549
179	120	549
180	121	548
181	121	547
182	122	546
183	123	545
184	123	545
185	124	544
186	125	543
187	125	543
188	126	542
189	127	541
190	127	540
191	128	540
192	128	539
193	129	538
194	130	537
195	130	537
196	131	536
197	132	535
198	132	535
199	133	534
200	134	533
201	135	533
202	135	532
203	136	532
204	136	531
205	137	530
206	138	529
207	138	529
208	139	528
209	140	527
210	140	526
211	141	526
212	142	525
213	142	525
214	143	524
215	144	523
216	144	522
217	145	521
218	146	520
219	146	520
220	147	519
221	148	518
222	148	518
223	149	517
224	149	516
225	150	515
226	151	515
227	151	514
228	152	513
229	153	512
230	153	512
231	154	511
232	155	510
233	155	509
234	156	509
235	156	508
236	157	507
237	158	506
238	158	505
239	159	505
240	160	504
241	160	503
242	161	502
243	162	502
244	162	501
245	163	500
246	163	499
247	164	499
248	165	498
249	165	497
250	166	497
251	167	496
252	167	495
253	168	495
254	169	494
255	169	493
256	170	492
257	171	492
258	171	491
259	172	490
260	173	490
261	173	489
262	174	488
263	175	488
264	175	487
265	176	486
266	177	486
267	177	485
268	178	485
269	179	484
270	179	483
271	180	483
272	181	482
273	181	481
274	182	481
275	183	480
276	184	480
277	184	479
278	185	478
279	186	478
280	186	477
281	187	477
282	188	476
283	188	475
284	189	475
285	190	474
286	190	473
287	191	473
288	192	472
289	193	473
290	194	472
291	194	472
292	195	471
293	196	470
294	196	470
295	197	469
296	198	468
297	198	468
298	199	467
299	200	466
300	200	465
301	201	465
302	201	464
303	202	463
304	203	463
305	203	462
306	204	461
307	205	461
308	205	460
309	206	459
310	207	459
311	207	458
312	208	457
313	209	457
314	209	456
315	210	455
316	211	455
317	212	454
